Sample no.,Site,Layer,Easting,Northing,Mass,Thickness,Density,MassArea,"[-5,-4)","[-4,-3)","[-3,-2)","[-2,-1)","[-1,0)","[0,1)","[1,2)","[2,3)","[3,4)"
1-27-01A,1,A,526774,1381087,1235,0.33,982.5,324.22,0.003727965,0.049794962,0.273206583,0.431219045,0.194972573,0.045853971,0.001171647,0.0000533,0
1-27-01B,1,B,526774,1381087,1550,0.15,1233.09,184.96,0,0.004574068,0.089986866,0.291653458,0.412119016,0.176622436,0.024410127,0.000634054,0
1-27-02A,2,A,526028,1380972,1135,0.23,902.94,207.68,0,0.038847665,0.174378001,0.439327804,0.309908337,0.033828022,0.003491925,0.000218245,0
1-27-02B,2,B,526028,1380972,1528,0.04,1215.59,48.62,0,0.005080214,0.078609626,0.423262032,0.329946524,0.103743315,0.048395722,0.008021391,0.002941176
1-27-03A,3,A,525477,1380291,1187,0.33,944.31,311.62,0,0.006734007,0.068376069,0.236208236,0.425019425,0.247604248,0.015799016,0.000259,0
1-27-03B,3,B,525477,1380291,1478,0.14,1175.82,164.61,0,0.004705882,0.019159664,0.158319327,0.456806723,0.324705882,0.03092437,0.004033613,0.001344538
1-27-04A,4,A,524516,1379866,1323,0.1,1052.51,105.25,0,0.009357078,0.031693329,0.167521884,0.432840326,0.303048596,0.051916692,0.00241473,0.001207365
1-27-04B,4,B,524516,1379866,1514,0.12,1204.46,144.53,0,0.000902527,0.019855596,0.145908544,0.438628158,0.348676294,0.043020457,0.002105896,0.000902527
1-27-05A,5,A,523595,1379462,1466,0.15,1166.27,174.94,0,0.00453772,0.034316506,0.153431651,0.406976745,0.330969938,0.057855927,0.009359047,0.002552467
1-27-05B,5,B,523595,1379462,1474,0.06,1172.63,70.36,0,0,0.001961334,0.061641917,0.383020454,0.453068086,0.08489773,0.009526478,0.005884001
1-27-06A,6,A,522674,1379481,1403,0.17,1116.15,189.75,0,0,0.022373806,0.114324693,0.384720327,0.384720328,0.085675306,0.00627558,0.001909959
1-27-06B,6,B,522674,1379481,1551,0.03,1233.89,37.02,0,0,0.005130975,0.069673237,0.423980556,0.391034297,0.097488523,0.009181744,0.003510667
1-27-07 M,7,M,521642,1379304,1438,0.15,1143.99,171.6,0,0,0.000831486,0.029379158,0.420177383,0.402993348,0.117793792,0.012749446,0.016075388
1-27-08 M,8,M,520715,1378964,1374,0.11,1093.08,120.24,0,0,0,0.02244116,0.197865353,0.480842911,0.190749863,0.054460865,0.053639847
1-27-09 M,9,M,519877,1378201,1580,0.05,1256.96,62.85,0,0,0,0.003012874,0.061626952,0.344837031,0.311969323,0.138592167,0.139961654
1-27-10 M,10,M,520742,1379432,1555,0.13,1237.07,160.82,0,0,0.000272851,0.015279672,0.183083219,0.461937244,0.183901773,0.069577081,0.085948158
1-27-11 M,11,M,520990,1380130,1508,0.13,1199.68,155.96,0,0,0.003552884,0.033342443,0.287783547,0.459961738,0.160972944,0.039081717,0.015304728
