Sample no.,Easting,Northing,MassArea,Thickness,"[-5,-4)","[-4,-3)","[-3,-2)","[-2,-1)","[-1,0)","[0,1)","[1,2)","[2,3)","[3,4)"
VF00-04a,646609,2159594,625.8,60,0.19,0.31,0.18,0.11,0.06,0.02,0.01,0.01,0.01
VF00-05a3,646897,2160261,500.64,48,0.1,0.3,0.24,0.16,0.09,0.03,0.01,0.01,0.01
VF00-06a3,647067,2160085,417.2,40,0.07,0.3,0.25,0.17,0.11,0.05,0.01,0.01,0.01
VF01-01a3,647147,2165653,344.19,33,0.03,0.11,0.18,0.22,0.25,0.16,0.02,0,0
VF01-03a,650933,2162032,135.59,13,0.03,0.13,0.19,0.22,0.24,0.15,0.03,0.01,0
VF01-07a5,649798,2163484,365.05,35,0.02,0.17,0.23,0.23,0.21,0.12,0.02,0,0
VF01-09a3,649447,2164123,584.08,56,0.04,0.18,0.22,0.21,0.19,0.11,0.02,0,0
VF02-01a,648336,2165198,208.6,20,0.04,0.14,0.2,0.21,0.21,0.12,0.03,0.01,0.02
VF02-02a,648622,2164957,187.74,18,0.02,0.14,0.25,0.23,0.2,0.12,0.02,0,0.01
VF02-03a,648176,2165507,354.62,34,0.02,0.06,0.18,0.26,0.29,0.15,0.02,0,0
VF02-05a,648462,2165255,344.19,33,0.02,0.15,0.22,0.23,0.22,0.13,0.02,0,0
VF02-06a3,647397,2165932,344.19,33,0.02,0.16,0.22,0.23,0.22,0.12,0.02,0,0
VF05-02a,644773,2164771,292.04,28,0.03,0.11,0.17,0.21,0.22,0.15,0.05,0.02,0.02
VF05-03a,644524,2165676,73.01,7,0.02,0.08,0.15,0.2,0.23,0.18,0.06,0.02,0.02
VF05-05a3,643671,2164740,62.58,6,0.02,0.1,0.16,0.18,0.19,0.15,0.06,0.03,0.03
VF05-08a3,643437,2161240,125.16,12,0.1,0.22,0.24,0.16,0.1,0.04,0.02,0.01,0.01
VF05-13a,642838,2164013,62.58,6,0.04,0.09,0.17,0.19,0.17,0.11,0.08,0.06,0.04
VF05-14a3,642860,2163859,62.58,6,0,0.09,0.13,0.19,0.21,0.14,0.07,0.05,0.06
VF05-16a3,643009,2163605,93.87,9,0.04,0.15,0.19,0.19,0.19,0.12,0.04,0.03,0.03
VF05-17a,643842,2163136,125.16,12,0.1,0.14,0.17,0.2,0.17,0.1,0.04,0.02,0.02
VF05-18a3,644473,2162964,166.88,16,0.03,0.21,0.25,0.22,0.16,0.07,0.02,0.01,0.01
VF06-03/5-09,644340,2161170,594.51,57,0.11,0.25,0.25,0.19,0.11,0.04,0.01,0.01,0.01
VF95-06a,648243,2167610,417.2,40,0,0.11,0.21,0.22,0.23,0.17,0.04,0,0
VF95-08a,647017,2166184,312.9,30,0.01,0.13,0.19,0.24,0.25,0.16,0.03,0,0
VF97-20Q,650610,2166811,208.6,20,0.02,0.07,0.14,0.21,0.26,0.21,0.06,0.01,0.01
VF98-01a3,647775,2167142,239.89,23,0.04,0.13,0.18,0.21,0.23,0.15,0.03,0,0
VF98-02a,646264,2165823,156.45,15,0.01,0.12,0.19,0.23,0.24,0.17,0.03,0,0
VF98-04a,644555,2165754,104.3,10,0.03,0.12,0.19,0.19,0.2,0.14,0.05,0.02,0.02
VF98-05a,645142,2164486,187.74,18,0.14,0.23,0.18,0.15,0.13,0.08,0.02,0.01,0.01
VF98-07a,646028,2165268,208.6,20,0.01,0.14,0.19,0.23,0.24,0.15,0.02,0,0
VF98-08a,647534,2167051,187.74,18,0.01,0.07,0.12,0.22,0.29,0.23,0.05,0.01,0.01
VF98-09a,649727,2168287,187.74,18,0.03,0.04,0.1,0.19,0.29,0.26,0.09,0,0
VF98-10a,650242,2169453,125.16,12,0.01,0.03,0.06,0.17,0.29,0.32,0.11,0,0
VF99-02B,647629,2164406,260.75,25,0.04,0.15,0.21,0.22,0.22,0.13,0.02,0,0
VF99-03a,647129,2165343,208.6,20,0.06,0.15,0.23,0.24,0.19,0.1,0.01,0,0
VF99-04as,645335,2166568,125.16,12,0.02,0.06,0.13,0.21,0.28,0.2,0.06,0.01,0.01
VF99-05a,644723,2165744,83.44,8,0.03,0.13,0.2,0.2,0.18,0.13,0.06,0.02,0.02
VF99-06as,648089,2167144,292.04,28,0.04,0.08,0.15,0.22,0.26,0.2,0.04,0,0
