Sample no.,Easting,Northing,MassArea,Thickness,"[-5,-4)","[-4,-3)","[-3,-2)","[-2,-1)","[-1,0)","[0,1)","[1,2)","[2,3)","[3,4)"
VF9506a,648243,2167610,417.2,40,0.001,0.11,0.21,0.22,0.23,0.17,0.04,0.002,0.002
VF9508a,647017,2166184,312.9,30,0.006,0.13,0.19,0.24,0.25,0.16,0.03,0.002,0.002
VF9720Q,650610,2166811,208.6,20,0.017,0.07,0.14,0.21,0.26,0.21,0.06,0.007,0.006
VF9801a3,647775,2167142,239.89,23,0.044,0.13,0.18,0.21,0.23,0.15,0.03,0.003,0.002
VF9802a,646264,2165823,156.45,15,0.014,0.12,0.19,0.23,0.24,0.17,0.03,0.004,0.003
VF9804a,644555,2165754,104.3,10,0.027,0.12,0.19,0.19,0.2,0.14,0.05,0.02,0.02
VF9805a,645142,2164486,187.74,18,0.137,0.23,0.18,0.15,0.13,0.08,0.02,0.009,0.006
VF9807a,646028,2165268,208.6,20,0.008,0.14,0.19,0.23,0.24,0.15,0.02,0.004,0.004
VF9808a,647534,2167051,187.74,18,0.008,0.07,0.12,0.22,0.29,0.23,0.05,0.005,0.005
VF9809a,649727,2168287,187.74,18,0.025,0.04,0.1,0.19,0.29,0.26,0.09,0.004,0.003
VF9810a,650242,2169453,125.16,12,0.011,0.03,0.06,0.17,0.29,0.32,0.11,0.003,0.002
VF9902B,647629,2164406,260.75,25,0.035,0.15,0.21,0.22,0.22,0.13,0.02,0.002,0.001
VF9903a,647129,2165343,208.6,20,0.055,0.15,0.23,0.24,0.19,0.1,0.01,0.003,0.003
VF9904as,645335,2166568,125.16,12,0.017,0.06,0.13,0.21,0.28,0.2,0.06,0.013,0.014
VF9905a,644723,2165744,83.44,8,0.028,0.13,0.2,0.2,0.18,0.13,0.06,0.017,0.017
VF9906as,648089,2167144,292.04,28,0.036,0.08,0.15,0.22,0.26,0.2,0.04,0.003,0.002
VF0004a,646609,2159594,625.8,60,0.192,0.31,0.18,0.11,0.06,0.02,0.01,0.006,0.009
VF0005a3,646897,2160261,500.64,48,0.101,0.3,0.24,0.16,0.09,0.03,0.01,0.007,0.01
VF0006a3,647067,2160085,417.2,40,0.067,0.3,0.25,0.17,0.11,0.05,0.01,0.008,0.008
VF0101a3,647147,2165653,344.19,33,0.031,0.11,0.18,0.22,0.25,0.16,0.02,0.004,0.003
VF0103a,650933,2162032,135.59,13,0.026,0.13,0.19,0.22,0.24,0.15,0.03,0.005,0.004
VF0107a5,649798,2163484,365.05,35,0.02,0.17,0.23,0.23,0.21,0.12,0.02,0.003,0.002
VF0109a3,649447,2164123,584.08,56,0.036,0.18,0.22,0.21,0.19,0.11,0.02,0.002,0.002
VF0201a,648336,2165198,208.6,20,0.035,0.14,0.2,0.21,0.21,0.12,0.03,0.014,0.015
VF0202a,648622,2164957,187.74,18,0.021,0.14,0.25,0.23,0.2,0.12,0.02,0.004,0.005
VF0203a,648176,2165507,354.62,34,0.016,0.06,0.18,0.26,0.29,0.15,0.02,0.004,0.004
VF0205a,648462,2165255,344.19,33,0.022,0.15,0.22,0.23,0.22,0.13,0.02,0.003,0.003
VF0206a3,647397,2165932,344.19,33,0.017,0.16,0.22,0.23,0.22,0.12,0.02,0.003,0.003
VF0502a,644773,2164771,292.04,28,0.027,0.11,0.17,0.21,0.22,0.15,0.05,0.02,0.019
VF0503a,644524,2165676,73.01,7,0.019,0.08,0.15,0.2,0.23,0.18,0.06,0.018,0.018
VF0505a3,643671,2164740,62.58,6,0.016,0.1,0.16,0.18,0.19,0.15,0.06,0.026,0.027
VF0508a3,643437,2161240,125.16,12,0.1,0.22,0.24,0.16,0.1,0.04,0.02,0.008,0.008
VF0513a,642838,2164013,62.58,6,0.042,0.09,0.17,0.19,0.17,0.11,0.08,0.055,0.042
VF0514a3,642860,2163859,62.58,6,0.001,0.09,0.13,0.19,0.21,0.14,0.07,0.046,0.056
VF0516a3,643009,2163605,93.87,9,0.041,0.15,0.19,0.19,0.19,0.12,0.04,0.026,0.028
VF0517a,643842,2163136,125.16,12,0.098,0.14,0.17,0.2,0.17,0.1,0.04,0.021,0.018
VF0518a3,644473,2162964,166.88,16,0.031,0.21,0.25,0.22,0.16,0.07,0.02,0.009,0.008
VF0603509,644340,2161170,594.51,57,0.113,0.25,0.25,0.19,0.11,0.04,0.01,0.006,0.005
