Sample no.,Site,Layer,Easting,Northing,Mass,Thickness,Density,MassArea,"[-4.5,-4)","[-4,-3.5)","[-3.5,-3)","[-3,-2.5)","[-2.5,-2)","[-2,-1.5)","[-1.5,-1)","[-1,-0.5)","[-0.5,0)","[0,0.5)","[0.5,1)","[1,1.5)","[1.5,2)","[2,2.5)","[2.5,3)","[3,3.5)"
1-27-01A,1,A,526774,1381087,1235,0.33,982.5,324.22,0.003727965,0.010651329,0.039143633,0.151195612,0.122010971,0.232198967,0.199020078,0.122064228,0.072908345,0.040847846,0.005006125,0.00095862,0.000213027,5.33E-05,0,0
1-27-01B,1,B,526774,1381087,1550,0.15,1233.09,184.96,0,0,0.004574068,0.028395453,0.061591413,0.10869073,0.182962728,0.241836873,0.170282143,0.120012681,0.056609755,0.020379512,0.004030615,0.000543454,9.06E-05,0
1-27-02A,2,A,526028,1380972,1135,0.23,902.94,207.68,0,0.007202095,0.03164557,0.05674378,0.117634221,0.212352684,0.22697512,0.207333042,0.102575295,0.025752946,0.008075076,0.002182453,0.001309472,0.000218245,0,0
1-27-02B,2,B,526028,1380972,1528,0.04,1215.59,48.62,0,0,0.005080214,0.024331551,0.054278075,0.139839572,0.28342246,0.197860963,0.132085561,0.069786096,0.033957219,0.031016043,0.017379679,0.005347594,0.002673797,0.002941176
1-27-03A,3,A,525477,1380291,1187,0.33,944.31,311.62,0,0.002590003,0.004144004,0.023569024,0.044807045,0.08987309,0.146335146,0.216783217,0.208236208,0.180782181,0.066822067,0.014504015,0.001295001,0.000259,0,0
1-27-03B,3,B,525477,1380291,1478,0.14,1175.82,164.61,0,0,0.004705882,0.005378151,0.013781513,0.04907563,0.109243697,0.214789916,0.242016807,0.227563025,0.097142857,0.020504202,0.010420168,0.00302521,0.001008403,0.001344538
1-27-04A,4,A,524516,1379866,1323,0.1,1052.51,105.25,0,0.006942348,0.00241473,0.008149713,0.023543616,0.058557199,0.108964685,0.226079082,0.206761244,0.20344099,0.099607606,0.04165409,0.010262602,0.000905524,0.001509206,0.001207365
1-27-04B,4,B,524516,1379866,1514,0.12,1204.46,144.53,0,0,0.000902527,0.004211793,0.015643803,0.042719615,0.103188929,0.194945848,0.24368231,0.234055355,0.114620939,0.037906137,0.00511432,0.001203369,0.000902527,0.000902527
1-27-05A,5,A,523595,1379462,1466,0.15,1166.27,174.94,0,0,0.00453772,0.012195122,0.022121384,0.050482133,0.102949518,0.176687465,0.23028928,0.211287578,0.11968236,0.04622802,0.011627907,0.005955757,0.00340329,0.002552467
1-27-05B,5,B,523595,1379462,1474,0.06,1172.63,70.36,0,0,0,0,0.001961334,0.011487812,0.050154105,0.152143458,0.230876996,0.286915102,0.166152984,0.063042869,0.021854861,0.006164192,0.003362286,0.005884001
1-27-06A,6,A,522674,1379481,1403,0.17,1116.15,189.75,0,0,0,0.008185539,0.014188267,0.033287858,0.081036835,0.174351978,0.210368349,0.240381992,0.144338336,0.062210095,0.023465211,0.004638472,0.001637108,0.001909959
1-27-06B,6,B,522674,1379481,1551,0.03,1233.89,37.02,0,0,0,0.000540103,0.004590872,0.013502565,0.056170672,0.149338374,0.274642182,0.230083716,0.160950581,0.06589252,0.031596003,0.00621118,0.002970564,0.003510667
1-27-07 M,7,M,521642,1379304,1438,0.15,1143.99,171.6,0,0,0,0,0.000831486,0.004988914,0.024390244,0.116685144,0.303492239,0.1845898,0.218403548,0.09368071,0.024113082,0.008592018,0.004157428,0.016075388
1-27-08 M,8,M,520715,1378964,1374,0.11,1093.08,120.24,0,0,0,0,0,0.003557745,0.018883415,0.058292282,0.139573071,0.247400109,0.233442802,0.132183908,0.058565955,0.033114395,0.02134647,0.053639847
